timestamps,actual,predict
2023-09-04,5.0,5.0
2023-09-05,2.0,2.0
2023-09-06,24.0,24.0
2023-09-07,9.0,9.0
2023-09-08,12.0,12.0
2023-09-09,7.0,7.0
2023-09-10,6.0,6.0
2023-09-11,4.0,4.0
2023-09-12,7.0,7.0
2023-09-13,7.0,7.0
2023-09-14,4.0,4.0
2023-09-15,7.0,7.0
2023-09-16,7.0,7.0
2023-09-17,3.0,3.0
2023-09-18,9.0,9.0
2023-09-19,5.0,5.0
2023-09-20,5.0,5.0
2023-09-21,9.0,9.0
2023-09-22,2.0,2.0
2023-09-23,2.0,2.0
2023-09-24,4.0,4.0
2023-09-25,3.0,3.0
2023-09-26,6.0,6.0
2023-09-27,9.0,9.0
2023-09-28,4.0,4.0
2023-09-29,3.0,3.0
2023-09-30,2.0,2.0
2023-10-01,9.0,9.0
2023-10-02,6.0,6.0
2023-10-03,2.0,2.0
2023-10-04,5.0,5.0
2023-10-05,6.0,6.0
2023-10-06,3.0,3.0
2023-10-07,5.0,5.0
2023-10-08,2.0,2.0
2023-10-09,2.0,2.0
2023-10-10,10.0,10.0
2023-10-11,9.0,9.0
2023-10-12,6.0,6.0
2023-10-13,2.0,2.0
2023-10-14,5.0,5.0
2023-10-15,11.0,11.0
2023-10-16,4.0,4.0
2023-10-17,7.0,7.0
2023-10-18,6.0,6.0
2023-10-19,7.0,7.0
2023-10-20,5.0,5.0
2023-10-21,3.0,3.0
2023-10-22,1.0,1.0
2023-10-23,6.0,6.0
2023-10-24,2.0,2.0
2023-10-25,2.0,2.0
2023-10-26,3.0,3.0
2023-10-27,6.0,6.0
2023-10-28,8.0,8.0
2023-10-29,5.0,5.0
2023-10-30,7.0,4.318
2023-10-31,14.0,5.639
2023-11-01,2.0,3.406
2023-11-02,5.0,3.952
2023-11-03,6.0,4.135
2023-11-04,4.0,3.77
2023-11-05,0.0,3.043
2023-11-06,17.0,6.246
2023-11-07,3.0,3.588
2023-11-08,5.0,3.952
2023-11-09,8.0,4.502
2023-11-10,2.0,3.406
2023-11-11,3.0,3.588
2023-11-12,9.0,4.685
2023-11-13,3.0,3.588
2023-11-14,5.0,3.952
2023-11-15,6.0,4.135
2023-11-16,1.0,3.225
2023-11-17,70.0,21.909
2023-11-18,2.0,3.406
2023-11-19,2.0,3.406
2023-11-20,6.0,4.135
2023-11-21,1.0,3.225
2023-11-22,3.0,3.588
2023-11-23,4.0,3.77
2023-11-24,5.0,3.952
2023-11-25,2.0,3.406
2023-11-26,1.0,3.225
