timestamps,actual,predict
2023-02-25,7.0,7.0
2023-02-26,5.0,5.0
2023-02-27,9.0,9.0
2023-02-28,4.0,4.0
2023-03-01,4.0,4.0
2023-03-02,19.0,19.0
2023-03-03,7.0,7.0
2023-03-04,2.0,2.0
2023-03-05,5.0,5.0
2023-03-06,4.0,4.0
2023-03-07,3.0,3.0
2023-03-08,5.0,5.0
2023-03-09,8.0,8.0
2023-03-10,8.0,8.0
2023-03-11,10.0,10.0
2023-03-12,9.0,9.0
2023-03-13,8.0,8.0
2023-03-14,5.0,5.0
2023-03-15,8.0,8.0
2023-03-16,2.0,2.0
2023-03-17,4.0,4.0
2023-03-18,4.0,4.0
2023-03-19,3.0,3.0
2023-03-20,12.0,12.0
2023-03-21,3.0,3.0
2023-03-22,10.0,10.0
2023-03-23,14.0,14.0
2023-03-24,7.0,7.0
2023-03-25,5.0,5.0
2023-03-26,7.0,7.0
2023-03-27,5.0,5.0
2023-03-28,9.0,9.0
2023-03-29,2.0,2.0
2023-03-30,4.0,4.0
2023-03-31,3.0,3.0
2023-04-01,3.0,3.0
2023-04-02,6.0,6.0
2023-04-03,7.0,7.0
2023-04-04,2.0,2.0
2023-04-05,11.0,11.0
2023-04-06,3.0,3.0
2023-04-07,36.0,36.0
2023-04-08,81.0,81.0
2023-04-09,6.0,6.0
2023-04-10,4.0,4.0
2023-04-11,3.0,3.0
2023-04-12,3.0,3.0
2023-04-13,6.0,6.0
2023-04-14,2.0,2.0
2023-04-15,7.0,7.0
2023-04-16,5.0,5.0
2023-04-17,3.0,3.0
2023-04-18,7.0,7.0
2023-04-19,5.0,5.0
2023-04-20,7.0,7.0
2023-04-21,2.0,2.0
2023-04-22,14.0,5.181
2023-04-23,2.0,2.814
2023-04-24,1.0,2.631
2023-04-25,4.0,3.18
2023-04-26,3.0,2.997
2023-04-27,7.0,3.734
2023-04-28,2.0,2.814
2023-04-29,1.0,2.631
2023-04-30,8.0,3.932
2023-05-01,3.0,2.997
2023-05-02,6.0,3.545
2023-05-03,4.0,3.18
2023-05-04,20.0,6.54
2023-05-05,7.0,3.734
2023-05-06,9.0,4.131
2023-05-07,5.0,3.362
2023-05-08,6.0,3.545
2023-05-09,9.0,4.131
2023-05-10,1.0,2.631
2023-05-11,7.0,3.734
2023-05-12,9.0,4.131
2023-05-13,2.0,2.814
2023-05-14,7.0,3.734
2023-05-15,5.0,3.362
2023-05-16,33.0,9.844
2023-05-17,2.0,2.814
2023-05-18,4.0,3.18
2023-05-19,10.0,4.33
