timestamps,actual,predict
2024-07-12,4.0,4.0
2024-07-13,1.0,1.0
2024-07-14,2.0,2.0
2024-07-15,16.0,16.0
2024-07-16,3.0,3.0
2024-07-17,5.0,5.0
2024-07-18,31.0,31.0
2024-07-19,5.0,5.0
2024-07-20,5.0,5.0
2024-07-21,5.0,5.0
2024-07-22,9.0,9.0
2024-07-23,3.0,3.0
2024-07-24,2.0,2.0
2024-07-25,3.0,3.0
2024-07-26,2.0,2.0
2024-07-27,3.0,3.0
2024-07-28,9.0,9.0
2024-07-29,2.0,2.0
2024-07-30,11.0,11.0
2024-07-31,2.0,2.0
2024-08-01,3.0,3.0
2024-08-02,1.0,1.0
2024-08-03,7.0,7.0
2024-08-04,2.0,2.0
2024-08-05,6.0,6.0
2024-08-06,3.0,3.0
2024-08-07,8.0,8.0
2024-08-08,3.0,3.0
2024-08-09,1.0,1.0
2024-08-10,10.0,10.0
2024-08-11,4.0,4.0
2024-08-12,0.0,0.0
2024-08-13,7.0,7.0
2024-08-14,2.0,2.0
2024-08-15,3.0,3.0
2024-08-16,5.0,5.0
2024-08-17,3.0,3.0
2024-08-18,1.0,1.0
2024-08-19,3.0,3.0
2024-08-20,5.0,5.0
2024-08-21,2.0,2.0
2024-08-22,2.0,2.0
2024-08-23,1.0,1.0
2024-08-24,1.0,1.0
2024-08-25,4.0,4.0
2024-08-26,3.0,3.0
2024-08-27,2.0,2.0
2024-08-28,8.0,8.0
2024-08-29,6.0,6.0
2024-08-30,4.0,4.0
2024-08-31,1.0,1.0
2024-09-01,3.0,3.0
2024-09-02,5.0,5.0
2024-09-03,3.0,3.0
2024-09-04,1.0,1.0
2024-09-05,5.0,5.0
2024-09-06,1.0,2.582
2024-09-07,5.0,3.251
2024-09-08,5.0,3.251
2024-09-09,4.0,3.075
2024-09-10,2.0,2.747
2024-09-11,3.0,2.911
2024-09-12,12.0,4.602
2024-09-13,1.0,2.582
2024-09-14,4.0,3.075
2024-09-15,9.0,4.021
2024-09-16,14.0,4.991
2024-09-17,6.0,3.443
2024-09-18,12.0,4.602
2024-09-19,3.0,2.911
2024-09-20,6.0,3.443
2024-09-21,0.0,2.423
2024-09-22,3.0,2.911
2024-09-23,9.0,4.021
2024-09-24,3.0,2.911
2024-09-25,4.0,3.075
2024-09-26,2.0,2.747
2024-09-27,3.0,2.911
2024-09-28,2.0,2.747
2024-09-29,5.0,3.251
2024-09-30,4.0,3.075
2024-10-01,1.0,2.582
2024-10-02,4.0,3.075
2024-10-03,5.0,3.251
