,MAE,RMSE,NMAE,NRMSE
7,3.03015,5.273303,0.014781,0.025723
14,2.901714,5.881213,0.014155,0.028689
21,3.295326,5.82287,0.016075,0.028404
28,2.941338,6.025908,0.014348,0.029395
35,4.112455,6.547268,0.020061,0.031938
