model,MAE,RMSE,NMAE,NRMSE
NLinear,5.18939,12.478272,0.025314,0.06087
DLinear,4.009297,11.957289,0.019558,0.058328
NBEATS,3.903857,11.996225,0.019043,0.058518
NHITS,3.927284,12.02225,0.019157,0.058645
Informer,3.909914,12.150628,0.019073,0.059271
Autoformer,3.986752,11.875707,0.019448,0.05793
VanillaTransformer,3.738265,11.912887,0.018235,0.058112
