timestamps,actual,predict
2023-12-16,60.0,60.0
2023-12-17,16.0,16.0
2023-12-18,14.0,14.0
2023-12-19,13.0,13.0
2023-12-20,33.0,33.0
2023-12-21,21.0,21.0
2023-12-22,27.0,27.0
2023-12-23,11.0,11.0
2023-12-24,14.0,14.0
2023-12-25,15.0,15.0
2023-12-26,19.0,19.0
2023-12-27,19.0,19.0
2023-12-28,16.0,16.0
2023-12-29,23.0,23.0
2023-12-30,19.0,19.0
2023-12-31,13.0,13.0
2024-01-01,11.0,11.0
2024-01-02,10.0,10.0
2024-01-03,39.0,39.0
2024-01-04,11.0,11.0
2024-01-05,20.0,20.0
2024-01-06,20.0,20.0
2024-01-07,18.0,18.0
2024-01-08,27.0,27.0
2024-01-09,24.0,24.0
2024-01-10,12.0,12.0
2024-01-11,58.0,58.0
2024-01-12,37.0,37.0
2024-01-13,18.0,18.0
2024-01-14,17.0,17.0
2024-01-15,27.0,27.0
2024-01-16,17.0,17.0
2024-01-17,30.0,30.0
2024-01-18,35.0,35.0
2024-01-19,24.0,24.0
2024-01-20,47.0,47.0
2024-01-21,34.0,34.0
2024-01-22,28.0,28.0
2024-01-23,29.0,29.0
2024-01-24,33.0,33.0
2024-01-25,17.0,17.0
2024-01-26,30.0,30.0
2024-01-27,35.0,35.0
2024-01-28,14.0,14.0
2024-01-29,25.0,25.0
2024-01-30,20.0,20.0
2024-01-31,18.0,18.0
2024-02-01,22.0,22.0
2024-02-02,23.0,23.0
2024-02-03,24.0,24.0
2024-02-04,18.0,18.0
2024-02-05,22.0,22.0
2024-02-06,26.0,26.0
2024-02-07,21.0,21.0
2024-02-08,32.0,32.0
2024-02-09,25.0,25.0
2024-02-10,23.0,18.875
2024-02-11,40.0,29.275
2024-02-12,16.0,15.105
2024-02-13,25.0,20.009
2024-02-14,68.0,53.6
2024-02-15,80.0,67.024
2024-02-16,38.0,27.964
2024-02-17,37.0,27.318
2024-02-18,21.0,17.767
2024-02-19,24.0,19.441
2024-02-20,17.0,15.634
2024-02-21,29.0,22.302
2024-02-22,18.0,16.164
2024-02-23,21.0,17.767
2024-02-24,30.0,22.881
2024-02-25,20.0,17.231
2024-02-26,18.0,16.164
2024-02-27,44.0,31.962
2024-02-28,52.0,38.195
2024-02-29,36.0,26.675
2024-03-01,47.0,34.097
2024-03-02,46.0,33.32
2024-03-03,48.0,34.909
2024-03-04,31.0,23.507
2024-03-05,26.0,20.579
2024-03-06,28.0,21.726
2024-03-07,48.0,34.909
2024-03-08,642.0,624.128
