unique_id,ds,NLinear,actual,unique_id,ds,DLinear,actual,unique_id,ds,NBEATS,NHITS,actual,unique_id,ds,Informer,Autoformer,VanillaTransformer,actual
1,2022-12-16,93.45923,22,1,2022-12-16,50.48018,22,1,2022-12-16,43.413494,38.697403,22,1,2022-12-16,6.359494,45.92898,38.561806,22
1,2022-12-17,52.33195,37,1,2022-12-17,49.25822,37,1,2022-12-17,39.223804,38.855797,37,1,2022-12-17,6.75434,46.323883,38.537167,37
1,2022-12-18,57.801846,20,1,2022-12-18,58.124416,20,1,2022-12-18,35.374115,35.866344,20,1,2022-12-18,6.754191,46.59241,38.614643,20
1,2022-12-19,75.69493,29,1,2022-12-19,40.387135,29,1,2022-12-19,36.387173,36.728188,29,1,2022-12-19,6.754066,47.660774,38.80452,29
1,2022-12-20,50.530823,30,1,2022-12-20,50.826603,30,1,2022-12-20,38.301315,37.686893,30,1,2022-12-20,6.753982,46.080185,39.047462,30
1,2022-12-21,81.66744,35,1,2022-12-21,39.797783,35,1,2022-12-21,34.530113,37.526066,35,1,2022-12-21,6.75387,46.95384,38.88232,35
1,2022-12-22,46.67797,22,1,2022-12-22,39.59967,22,1,2022-12-22,40.729687,38.678234,22,1,2022-12-22,6.75377,48.144455,40.230263,22
1,2022-12-23,55.38592,28,1,2022-12-23,40.57245,28,1,2022-12-23,37.77997,38.55548,28,1,2022-12-23,6.508732,50.173237,40.211006,28
1,2022-12-24,43.55195,33,1,2022-12-24,42.922897,33,1,2022-12-24,39.036343,36.66115,33,1,2022-12-24,6.608084,49.64048,40.21123,33
1,2022-12-25,41.157017,20,1,2022-12-25,38.55879,20,1,2022-12-25,36.853157,36.77889,20,1,2022-12-25,6.44898,51.307198,40.241665,20
1,2022-12-26,35.949474,18,1,2022-12-26,39.43096,18,1,2022-12-26,36.488823,36.49576,18,1,2022-12-26,6.692994,50.011887,39.73378,18
1,2022-12-27,34.555237,16,1,2022-12-27,47.21991,16,1,2022-12-27,35.732315,37.44156,16,1,2022-12-27,6.277316,46.641277,38.778545,16
1,2022-12-28,46.55694,14,1,2022-12-28,44.573868,14,1,2022-12-28,38.728508,36.784878,14,1,2022-12-28,6.349492,49.636154,38.978443,14
1,2022-12-29,52.716347,23,1,2022-12-29,34.635822,23,1,2022-12-29,41.753338,38.33796,23,1,2022-12-29,6.536684,49.30591,39.49826,23
1,2022-12-30,70.4754,22,1,2022-12-30,42.346413,22,1,2022-12-30,41.93705,37.915745,22,1,2022-12-30,6.326642,52.391052,39.762646,22
1,2022-12-31,52.295105,21,1,2022-12-31,40.134724,21,1,2022-12-31,40.120277,39.29377,21,1,2022-12-31,6.84695,49.54078,39.829,21
1,2023-01-01,73.51333,23,1,2023-01-01,39.010307,23,1,2023-01-01,41.978836,39.66419,23,1,2023-01-01,6.847016,49.65372,39.76704,23
1,2023-01-02,46.02363,14,1,2023-01-02,50.720848,14,1,2023-01-02,44.40498,39.42211,14,1,2023-01-02,6.84706,47.27113,39.659447,14
1,2023-01-03,43.231598,16,1,2023-01-03,46.7395,16,1,2023-01-03,40.208168,39.565514,16,1,2023-01-03,6.84712,48.05519,39.66413,16
1,2023-01-04,45.29507,25,1,2023-01-04,41.109116,25,1,2023-01-04,40.10132,39.3546,25,1,2023-01-04,6.847256,48.09579,39.75429,25
1,2023-01-05,41.512573,20,1,2023-01-05,40.06946,20,1,2023-01-05,38.561043,38.20546,20,1,2023-01-05,6.847316,48.221966,39.89272,20
1,2023-01-06,54.72747,23,1,2023-01-06,38.69143,23,1,2023-01-06,43.454155,38.838676,23,1,2023-01-06,6.843595,46.313625,39.22776,23
1,2022-12-11,67.05138,45,1,2022-12-11,45.422028,45,1,2022-12-11,46.30334,49.82628,45,1,2022-12-11,5.731594,45.38221,43.887066,45
1,2022-12-12,50.62213,37,1,2022-12-12,42.190075,37,1,2022-12-12,45.24655,50.096516,37,1,2022-12-12,6.287038,45.4701,39.292084,37
1,2022-12-13,48.35816,30,1,2022-12-13,44.048637,30,1,2022-12-13,44.85494,47.71139,30,1,2022-12-13,6.096098,44.617603,39.47473,30
1,2022-12-14,56.95687,19,1,2022-12-14,41.368793,19,1,2022-12-14,44.745148,46.620934,19,1,2022-12-14,6.235343,46.527172,39.740486,19
1,2022-12-15,47.6567,30,1,2022-12-15,44.72776,30,1,2022-12-15,41.863953,46.340897,30,1,2022-12-15,6.367743,47.212234,39.297783,30
1,2022-12-16,51.246185,22,1,2022-12-16,40.523796,22,1,2022-12-16,45.86252,46.878487,22,1,2022-12-16,6.766582,45.931343,38.50497,22
1,2022-12-17,25.759077,37,1,2022-12-17,43.637707,37,1,2022-12-17,46.950428,46.914352,37,1,2022-12-17,6.365652,45.59247,38.30517,37
1,2022-12-18,42.16636,20,1,2022-12-18,35.744156,20,1,2022-12-18,40.602364,45.644974,20,1,2022-12-18,6.756074,42.73247,38.285343,20
1,2022-12-19,58.455917,29,1,2022-12-19,47.919613,29,1,2022-12-19,41.65342,44.7557,29,1,2022-12-19,6.755928,46.659153,38.35571,29
1,2022-12-20,36.425865,30,1,2022-12-20,41.59397,30,1,2022-12-20,42.77063,43.5801,30,1,2022-12-20,6.755812,45.158535,38.536385,30
1,2022-12-21,51.14783,35,1,2022-12-21,41.09338,35,1,2022-12-21,44.28007,44.160095,35,1,2022-12-21,6.75573,45.903904,38.766533,35
1,2022-12-22,59.595413,22,1,2022-12-22,49.859886,22,1,2022-12-22,43.577957,44.425396,22,1,2022-12-22,6.755616,46.49795,38.643055,22
1,2022-12-23,78.989746,28,1,2022-12-23,45.880703,28,1,2022-12-23,44.932392,43.598152,28,1,2022-12-23,6.755522,48.595222,40.047764,28
1,2022-12-24,56.231293,33,1,2022-12-24,38.960968,33,1,2022-12-24,46.135845,43.64337,33,1,2022-12-24,6.75609,47.974728,40.027843,33
1,2022-12-25,41.548943,20,1,2022-12-25,50.013763,20,1,2022-12-25,41.814346,41.617447,20,1,2022-12-25,6.474972,48.996475,40.02785,20
1,2022-12-26,26.085636,18,1,2022-12-26,40.047928,18,1,2022-12-26,40.600685,41.614243,18,1,2022-12-26,6.301265,47.24994,40.060677,18
1,2022-12-27,56.256702,16,1,2022-12-27,43.133385,16,1,2022-12-27,42.340057,41.58728,16,1,2022-12-27,6.34439,47.848316,39.526176,16
1,2022-12-28,70.15727,14,1,2022-12-28,49.522182,14,1,2022-12-28,42.970093,42.2258,14,1,2022-12-28,6.295713,46.739742,38.561714,14
1,2022-12-29,39.37791,23,1,2022-12-29,51.235004,23,1,2022-12-29,42.22937,43.21284,23,1,2022-12-29,6.461715,50.673447,38.74086,23
1,2022-12-30,55.627213,22,1,2022-12-30,42.981827,22,1,2022-12-30,44.462322,43.660824,22,1,2022-12-30,6.540094,51.486378,39.247593,22
1,2022-12-31,46.49068,21,1,2022-12-31,43.81653,21,1,2022-12-31,46.57071,45.74186,21,1,2022-12-31,6.329816,49.66323,39.51586,21
1,2023-01-01,68.07817,23,1,2023-01-01,40.87863,23,1,2023-01-01,45.266396,47.051476,23,1,2023-01-01,6.848728,50.13762,39.58363,23
1,2023-01-02,63.981575,14,1,2023-01-02,59.142338,14,1,2023-01-02,43.94808,45.885056,14,1,2023-01-02,6.8488,47.91506,39.520916,14
1,2023-01-03,54.057674,16,1,2023-01-03,52.60306,16,1,2023-01-03,45.338867,45.37276,16,1,2023-01-03,6.848847,49.258312,39.40863,16
1,2023-01-04,54.977947,25,1,2023-01-04,39.595802,25,1,2023-01-04,44.674103,45.814186,25,1,2023-01-04,6.848902,48.36855,39.418358,25
1,2023-01-05,76.27512,20,1,2023-01-05,47.931747,20,1,2023-01-05,45.504524,45.825684,20,1,2023-01-05,6.849034,50.153236,39.517895,20
1,2023-01-06,52.33777,23,1,2023-01-06,46.717552,23,1,2023-01-06,48.78076,46.655502,23,1,2023-01-06,6.849096,49.193302,39.665688,23
1,2023-01-07,39.0603,39,1,2023-01-07,46.290596,39,1,2023-01-07,47.667206,45.9768,39,1,2023-01-07,6.84876,51.59726,41.85515,39
1,2022-12-12,45.395966,37,1,2022-12-12,42.151787,37,1,2022-12-12,40.027878,42.645668,37,1,2022-12-12,6.162426,46.43497,40.212917,37
1,2022-12-13,46.88981,30,1,2022-12-13,47.032543,30,1,2022-12-13,41.47574,42.623886,30,1,2022-12-13,6.191608,45.361774,39.32724,30
1,2022-12-14,66.026825,19,1,2022-12-14,57.12487,19,1,2022-12-14,41.672405,40.861767,19,1,2022-12-14,6.354573,46.60203,39.487324,19
1,2022-12-15,37.998398,30,1,2022-12-15,54.267063,30,1,2022-12-15,40.79172,39.61959,30,1,2022-12-15,6.446361,48.15846,39.710407,30
1,2022-12-16,77.6211,22,1,2022-12-16,47.996635,22,1,2022-12-16,42.918526,39.725655,22,1,2022-12-16,6.415479,46.69713,39.267445,22
1,2022-12-17,69.62363,37,1,2022-12-17,48.54196,37,1,2022-12-17,44.366375,41.640244,37,1,2022-12-17,6.538543,46.005405,38.5295,37
1,2022-12-18,43.98316,20,1,2022-12-18,39.043056,20,1,2022-12-18,37.311775,39.57979,20,1,2022-12-18,6.531564,45.455414,38.344723,20
1,2022-12-19,50.06897,29,1,2022-12-19,41.56722,29,1,2022-12-19,38.70219,39.52495,29,1,2022-12-19,6.757361,48.105347,38.329983,29
1,2022-12-20,63.28533,30,1,2022-12-20,52.043633,30,1,2022-12-20,40.057945,41.983856,30,1,2022-12-20,6.757228,46.481064,38.395824,30
1,2022-12-21,36.353626,35,1,2022-12-21,36.314213,35,1,2022-12-21,38.269207,40.821304,35,1,2022-12-21,6.75712,47.09036,38.564373,35
1,2022-12-22,61.012833,22,1,2022-12-22,37.54825,22,1,2022-12-22,43.323338,43.44052,22,1,2022-12-22,6.757051,47.534653,38.759407,22
1,2022-12-23,35.892868,28,1,2022-12-23,48.251896,28,1,2022-12-23,40.19223,41.959244,28,1,2022-12-23,6.756955,50.024643,38.67288,28
1,2022-12-24,41.951473,33,1,2022-12-24,46.925926,33,1,2022-12-24,44.755577,42.26312,33,1,2022-12-24,6.75687,49.369064,40.05596,33
1,2022-12-25,33.22618,20,1,2022-12-25,46.715065,20,1,2022-12-25,39.202885,41.044888,20,1,2022-12-25,6.757414,49.958725,40.035538,20
1,2022-12-26,60.823902,18,1,2022-12-26,42.648926,18,1,2022-12-26,41.822113,42.225296,18,1,2022-12-26,6.482158,48.125576,40.034855,18
1,2022-12-27,31.166597,16,1,2022-12-27,50.008354,16,1,2022-12-27,40.702663,42.130444,16,1,2022-12-27,6.170938,47.084866,40.067772,16
1,2022-12-28,40.779015,14,1,2022-12-28,40.711624,14,1,2022-12-28,41.85562,40.61024,14,1,2022-12-28,6.441161,47.907364,39.5212,14
1,2022-12-29,75.39383,23,1,2022-12-29,47.760483,23,1,2022-12-29,39.703384,39.683044,23,1,2022-12-29,6.454359,48.21918,38.61401,23
1,2022-12-30,49.72573,22,1,2022-12-30,38.050762,22,1,2022-12-30,43.920048,40.413246,22,1,2022-12-30,6.69269,51.555775,38.759453,22
1,2022-12-31,56.717182,21,1,2022-12-31,37.44741,21,1,2022-12-31,46.32912,42.395325,21,1,2022-12-31,6.536469,47.302402,39.197067,21
1,2023-01-01,32.39887,23,1,2023-01-01,47.77336,23,1,2023-01-01,45.617516,43.350918,23,1,2023-01-01,6.526078,48.376263,39.43857,23
1,2023-01-02,59.791695,14,1,2023-01-02,45.38245,14,1,2023-01-02,41.53478,44.755695,14,1,2023-01-02,6.847638,45.589348,39.49968,14
1,2023-01-03,44.934723,16,1,2023-01-03,42.757088,16,1,2023-01-03,39.051613,41.960346,16,1,2023-01-03,6.847715,46.996464,39.4413,16
1,2023-01-04,26.88741,25,1,2023-01-04,37.413155,25,1,2023-01-04,42.89279,41.74768,25,1,2023-01-04,6.847768,46.48588,39.3342,25
1,2023-01-05,48.826122,20,1,2023-01-05,52.60934,20,1,2023-01-05,41.63439,44.26008,20,1,2023-01-05,6.847828,47.04151,39.34475,20
1,2023-01-06,29.735592,23,1,2023-01-06,42.259617,23,1,2023-01-06,44.202824,43.017677,23,1,2023-01-06,6.847966,47.1798,39.439896,23
1,2023-01-07,51.294907,39,1,2023-01-07,47.911068,39,1,2023-01-07,43.640263,42.4951,39,1,2023-01-07,6.848032,47.07074,39.580555,39
1,2023-01-08,65.44097,64,1,2023-01-08,39.74237,64,1,2023-01-08,44.9147,43.334625,64,1,2023-01-08,6.848022,50.792698,41.532482,64
1,2022-12-13,47.498844,30,1,2022-12-13,40.588963,30,1,2022-12-13,36.526978,37.925407,30,1,2022-12-13,6.01054,44.578133,36.21309,30
1,2022-12-14,29.246975,19,1,2022-12-14,36.38615,19,1,2022-12-14,35.76842,37.541615,19,1,2022-12-14,6.475744,47.05144,38.54367,19
1,2022-12-15,41.556236,30,1,2022-12-15,42.795887,30,1,2022-12-15,38.82037,37.190674,30,1,2022-12-15,6.285421,47.840084,38.69461,30
1,2022-12-16,56.23812,22,1,2022-12-16,42.31085,22,1,2022-12-16,41.109787,36.906494,22,1,2022-12-16,6.009483,46.882774,38.924454,22
1,2022-12-17,52.454063,37,1,2022-12-17,57.24444,37,1,2022-12-17,37.30535,37.06647,37,1,2022-12-17,6.617785,45.886906,38.493458,37
1,2022-12-18,48.82472,20,1,2022-12-18,37.536007,20,1,2022-12-18,32.72185,35.204437,20,1,2022-12-18,6.763858,44.49357,37.738026,20
1,2022-12-19,54.149315,29,1,2022-12-19,44.178173,29,1,2022-12-19,40.019318,36.61165,29,1,2022-12-19,6.378575,48.267036,37.550163,29
1,2022-12-20,41.452667,30,1,2022-12-20,41.857937,30,1,2022-12-20,33.161453,35.23942,30,1,2022-12-20,6.754092,46.691975,37.536674,30
1,2022-12-21,31.773617,35,1,2022-12-21,35.81215,35,1,2022-12-21,37.758778,35.445076,35,1,2022-12-21,6.753952,46.90331,37.60618,35
1,2022-12-22,46.047092,22,1,2022-12-22,54.354713,22,1,2022-12-22,39.95486,36.916725,22,1,2022-12-22,6.75384,47.569656,37.77979,22
1,2022-12-23,50.185726,28,1,2022-12-23,42.31368,28,1,2022-12-23,37.828968,36.65934,28,1,2022-12-23,6.753765,50.92966,37.998257,28
1,2022-12-24,42.21438,33,1,2022-12-24,49.16623,33,1,2022-12-24,33.77801,36.73722,33,1,2022-12-24,6.75366,50.651993,37.907894,33
1,2022-12-25,44.253395,20,1,2022-12-25,48.691185,20,1,2022-12-25,37.50547,35.304863,20,1,2022-12-25,6.75357,51.50865,39.204727,20
1,2022-12-26,37.495213,18,1,2022-12-26,44.797295,18,1,2022-12-26,39.575104,37.180435,18,1,2022-12-26,6.754978,49.241135,39.18783,18
1,2022-12-27,48.79907,16,1,2022-12-27,42.55583,16,1,2022-12-27,40.84303,36.516106,16,1,2022-12-27,6.726328,49.997166,39.190174,16
1,2022-12-28,44.537033,14,1,2022-12-28,37.059475,14,1,2022-12-28,38.56021,34.780746,14,1,2022-12-28,6.546984,49.75821,39.224243,14
1,2022-12-29,40.239986,23,1,2022-12-29,41.036606,23,1,2022-12-29,38.47255,34.48902,23,1,2022-12-29,6.450798,50.54418,38.656075,23
1,2022-12-30,56.083664,22,1,2022-12-30,41.914623,22,1,2022-12-30,38.336323,34.833954,22,1,2022-12-30,5.953274,52.703865,37.82939,22
1,2022-12-31,52.34218,21,1,2022-12-31,40.52666,21,1,2022-12-31,36.327385,36.77797,21,1,2022-12-31,6.848194,46.44045,37.988533,21
1,2023-01-01,12.360704,23,1,2023-01-01,45.275673,23,1,2023-01-01,41.465446,37.40853,23,1,2023-01-01,6.84743,49.574192,38.4766,23
1,2023-01-02,30.182335,14,1,2023-01-02,44.038464,14,1,2023-01-02,38.583378,37.794125,14,1,2023-01-02,6.43994,46.205044,38.74641,14
1,2023-01-03,47.686657,16,1,2023-01-03,42.75401,16,1,2023-01-03,40.600723,39.121056,16,1,2023-01-03,6.846931,48.635742,38.8213,16
