model,MAE,RMSE,NMAE,NRMSE
NLinear,5.18939,12.478272,0.025314,0.06087
DLinear,4.009297,11.957289,0.019558,0.058328
NBEATS,3.903857,11.996225,0.019043,0.058518
NHITS,3.927284,12.02225,0.019157,0.058645
Informer,3.91157,12.151098,0.019081,0.059274
Autoformer,3.964092,11.881971,0.019337,0.057961
VanillaTransformer,3.739582,11.91409,0.018242,0.058118
